tool_name,slug,category,batch,build_priority_score,risk_level,complexity_level,search_value_estimate,why_this_batch,must_have_features,index_status
"Youtube Thumbnail Generator","youtube-thumbnail-generator","youtube thumbnail generator","Batch 2","70","low","high","high","High search demand but requires Canvas/Image API integration","Canvas rendering, text overlays, image export","index"
"Poster Generator","poster-generator","poster generator","Batch 2","70","low","high","high","High search demand but requires Canvas/Image API integration","Canvas rendering, text overlays, image export","index"
"Flyer Generator","flyer-generator","flyer generator","Batch 2","70","low","high","high","High search demand but requires Canvas/Image API integration","Canvas rendering, text overlays, image export","index"
"Meme Generator","meme-generator","meme generator","Batch 2","70","low","high","high","High search demand but requires Canvas/Image API integration","Canvas rendering, text overlays, image export","index"
"Logo Name Generator","logo-name-generator","logo name generator","Batch 2","65","low","medium","high","High demand but needs good visual templates","Icon library, SVG export","index"
"D N D Name Generator","d-n-d-name-generator","d n d name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Draw Names Generator","draw-names-generator","draw names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Mon Calamari Names Generator","mon-calamari-names-generator","mon calamari names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Trace Generator","name-trace-generator","name trace generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Tracing Generator","name-tracing-generator","name tracing generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Signature Generator For My Name","signature-generator-for-my-name","signature generator for my name","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Shipping Generator","name-shipping-generator","name shipping generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Team Name Generator Using Keywords","team-name-generator-using-keywords","team name generator using keywords","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
