"canonicalToolId","language","localizedPath","primaryKeyword","localizedSlug","h1","qualityStatus","qualityNotes","technicalStatus","technicalNotes"
"name-generator","ru","/ru/tools/generator-imen/","генератор имён","generator-imen","Генератор имён","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"name-generator","tr","/tr/tools/isim-olusturucu/","isim oluşturucu","isim-olusturucu","İsim oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"name-generator","id","/id/tools/generator-nama/","generator nama","generator-nama","Generator nama","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"username-generator","ru","/ru/tools/generator-nikneymov/","генератор никнеймов","generator-nikneymov","Генератор никнеймов","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"username-generator","tr","/tr/tools/kullanici-adi-olusturucu/","kullanıcı adı oluşturucu","kullanici-adi-olusturucu","Kullanıcı adı oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"username-generator","id","/id/tools/generator-username/","generator username","generator-username","Generator username","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"business-name-generator","ru","/ru/tools/generator-nazvaniy-kompaniy/","генератор названий компаний","generator-nazvaniy-kompaniy","Генератор названий компаний","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"business-name-generator","tr","/tr/tools/sirket-adi-olusturucu/","şirket adı oluşturucu","sirket-adi-olusturucu","Şirket adı oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"business-name-generator","id","/id/tools/generator-nama-bisnis/","generator nama bisnis","generator-nama-bisnis","Generator nama bisnis","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"fantasy-name-generator","ru","/ru/tools/generator-fentezi-imen/","генератор фэнтези-имён","generator-fentezi-imen","Генератор фэнтези-имён","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"fantasy-name-generator","tr","/tr/tools/fantastik-isim-olusturucu/","fantastik isim oluşturucu","fantastik-isim-olusturucu","Fantastik isim oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"fantasy-name-generator","id","/id/tools/generator-nama-fantasi/","generator nama fantasi","generator-nama-fantasi","Generator nama fantasi","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"character-name-generator","ru","/ru/tools/generator-imen-personazhey/","генератор имён персонажей","generator-imen-personazhey","Генератор имён персонажей","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"character-name-generator","tr","/tr/tools/karakter-ismi-olusturucu/","karakter ismi oluşturucu","karakter-ismi-olusturucu","Karakter ismi oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"character-name-generator","id","/id/tools/generator-nama-karakter/","generator nama karakter","generator-nama-karakter","Generator nama karakter","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"baby-name-generator","ru","/ru/tools/generator-detskih-imen/","генератор детских имён","generator-detskih-imen","Генератор детских имён","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"baby-name-generator","tr","/tr/tools/bebek-ismi-olusturucu/","bebek ismi oluşturucu","bebek-ismi-olusturucu","Bebek ismi oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"baby-name-generator","id","/id/tools/generator-nama-bayi/","generator nama bayi","generator-nama-bayi","Generator nama bayi","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"last-name-generator","ru","/ru/tools/generator-familiy/","генератор фамилий","generator-familiy","Генератор фамилий","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"last-name-generator","tr","/tr/tools/soyadi-olusturucu/","soyadı oluşturucu","soyadi-olusturucu","Soyadı oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"last-name-generator","id","/id/tools/generator-nama-belakang/","generator nama belakang","generator-nama-belakang","Generator nama belakang","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"middle-name-generator","ru","/ru/tools/generator-vtorogo-imeni/","генератор второго имени","generator-vtorogo-imeni","Генератор второго имени","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"middle-name-generator","tr","/tr/tools/ikinci-isim-olusturucu/","ikinci isim oluşturucu","ikinci-isim-olusturucu","İkinci isim oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"middle-name-generator","id","/id/tools/generator-nama-tengah/","generator nama tengah","generator-nama-tengah","Generator nama tengah","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"team-name-generator","ru","/ru/tools/generator-nazvaniy-komand/","генератор названий команд","generator-nazvaniy-komand","Генератор названий команд","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"team-name-generator","tr","/tr/tools/takim-adi-olusturucu/","takım adı oluşturucu","takim-adi-olusturucu","Takım adı oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"team-name-generator","id","/id/tools/generator-nama-tim/","generator nama tim","generator-nama-tim","Generator nama tim","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"domain-name-generator","ru","/ru/tools/generator-domennyh-imen/","генератор доменных имён","generator-domennyh-imen","Генератор доменных имён","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"domain-name-generator","tr","/tr/tools/alan-adi-olusturucu/","alan adı oluşturucu","alan-adi-olusturucu","Alan adı oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"domain-name-generator","id","/id/tools/generator-nama-domain/","generator nama domain","generator-nama-domain","Generator nama domain","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"product-name-generator","ru","/ru/tools/generator-nazvaniy-produktov/","генератор названий продуктов","generator-nazvaniy-produktov","Генератор названий продуктов","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"product-name-generator","tr","/tr/tools/urun-adi-olusturucu/","ürün adı oluşturucu","urun-adi-olusturucu","Ürün adı oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"product-name-generator","id","/id/tools/generator-nama-produk/","generator nama produk","generator-nama-produk","Generator nama produk","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"project-name-generator","ru","/ru/tools/generator-nazvaniy-proektov/","генератор названий проектов","generator-nazvaniy-proektov","Генератор названий проектов","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"project-name-generator","tr","/tr/tools/proje-adi-olusturucu/","proje adı oluşturucu","proje-adi-olusturucu","Proje adı oluşturucu","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
"project-name-generator","id","/id/tools/generator-nama-proyek/","generator nama proyek","generator-nama-proyek","Generator nama proyek","PASS","Keyword, slug, H1, FAQ topics, intent, safety phrasing, and localized wording pass strict review.","PASS","Built page exists, index/follow, self-canonical, complete hreflang set, no preview/local host markers."
