row_type,slug,current_final_verdict,recommended_cleanup,redirect_target,hide_from_discovery,leave_generated_noindex_page,reason,risk_notes,likely_implementation_files
summary,,,"20 tools reviewed",,true,true,"Bulk merge/redirect cleanup plan for remaining brand/IP, platform, fandom, and overlap noindex tools.","Do not index any tool. Do not remove noindexToolSlugs as part of planning.","src/data/tools.ts; src/pages/tools/[slug].astro; scripts/patch-vercel-redirects.mjs; package.json; .vercel/output/config.json after build; dist after build"
summary,,,"recommended_redirect_count",19,true,false,"19 tools have a viable broader generic target already present from the allowed target set.","Redirect only after confirming search intent, preserving useful generic coverage, and removing old slugs from discovery/sitemap generation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
summary,,,"keep_noindex_only_count",1,true,true,"Only ao3-tag-generator should not redirect yet because tag-generator does not exist and hashtag-generator is an unsafe intent mismatch.","Keep generated noindex or hide from discovery until a safe generic destination exists.","src/data/tools.ts"
tool,roblox-username-generator,merge_or_redirect_candidate,redirect to broader generic tool,/tools/username-generator/,true,false,"Overlaps the broader username generator and carries brand/platform/IP, availability, impersonation, account-abuse, and platform-rule risks.","Safe target exists. Redirect is cleaner than indexing or keeping standalone discovery.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts; src/pages/tools/[slug].astro"
tool,spongebob-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected character/franchise/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying brand/style affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,undertale-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected game/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying game/IP affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,pokemon-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected franchise/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying franchise/IP affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,minecraft-text-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/fancy-text-generator/,true,false,"Protected game/IP text-style page overlaps generic fancy text transformation intent.","Target exists. Redirect should avoid implying game/IP affiliation.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,roblox-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/gaming-name-generator/,true,false,"Brand/platform/IP name page overlaps generic gaming name generation and has account, availability, impersonation, and platform-rule risks.","Target exists. Redirect is preferable to indexing standalone brand/platform intent.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
tool,fortnite-name-generator,final_keep_noindex_brand_ip_fandom,redirect to broader generic tool,/tools/gaming-name-generator/,true,false,"Brand/platform/IP name page overlaps generic gaming name generation and has availability and unofficial affiliation risks.","Target exists. Redirect is preferable to indexing standalone brand/platform intent.","scripts/patch-vercel-redirects.mjs; src/data/tools.ts"
