"rowType","batchId","batchName","toolOrder","canonicalToolId","englishName","categorySlug","primaryKeyword","generatorType","toolsInBatch","languages","pageIncrease","cumulativeLocalizedPages","priority","qualityFocus","validationChecks","notes"
"summary","ALL","Full rollout target","","","","","","","339","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","5763","6443","High","Expand from 40 proven pilot tools to all 379 English indexable tool pages only.","Final target: 379 tools x 17 languages = 6443 localized tool pages.","Pilot tools already localized: 40; remaining tools to localize: 339; expected new pages: 5763."
"summary","BASELINE","Proven pilot baseline","","","","","","","40","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","680","680","Complete","Pilot audit passed across page count, sitemap, canonicals, hreflang, language switching, RTL, and quality gates.","Use artifacts/final_localization_pilot_full_audit.csv as baseline gate.","Do not relocalize the existing 40 pilot tools unless correcting a separate audited defect."
"batch","B01","Rollout batch 1","","","","text-font-generators|utility-generators|developer-generators|random-generators|name-generators|gaming-generators|creative-generators|seo-generators","","","43","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","731","1411","High","Unicode behavior, copy-paste expectations, platform compatibility caveats, and no deceptive/spam styling use cases. / Utility accuracy limits, no official/legal guarantees, and task-specific local examples. / Technical accuracy, safe examples, no credential/security misuse, and clear limitations. / Randomness limitations, safe playful framing, and no identity/document/security misuse. / Proper-name cultural fit, transliteration choices, trademark/availability caveats, and no fake identity framing. / Fictional/game-safe framing, no franchise impersonation promises, and localized genre terms. / Creative intent, genre vocabulary, safe fictional framing, and no adult/violent/hateful/deceptive angles. / Search intent accuracy, no ranking/traffic promises, careful robots/canonical wording, and localized metadata examples.","Before commit: git status --short clean except artifacts; npx.cmd tsc --noEmit; npx.cmd astro check; npm.cmd run build; strict CSV audit for counts, duplicate slugs, no noindex/redirected tools, self-canonical, hreflang en+17+x-default, language switch same-tool, sitemap, Arabic rtl, no localhost/vercel preview, no AdSense/user/SEO failures.","Recommended implementation size 43 tools = 731 new localized pages. Keep each language keyword/slug map reviewed before code generation."
"tool","B01","Rollout batch 1","1","glitch-text-generator","Glitch Text Generator","text-font-generators","glitch text generator","text-transform","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","2","lorem-ipsum-generator","Lorem Ipsum Generator","utility-generators","lorem ipsum generator","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Utility accuracy limits, no official/legal guarantees, and task-specific local examples.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","3","uuid-generator","UUID Generator","developer-generators","uuid generator","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","4","random-number-generator","Random Number Generator","random-generators","random number generator","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Randomness limitations, safe playful framing, and no identity/document/security misuse.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","5","strikethrough-text-generator","Strikethrough Text Generator","text-font-generators","strikethrough text generator","text-transform","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","6","underline-text-generator","Underline Text Generator","text-font-generators","underline text generator","text-transform","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","7","vaporwave-text-generator","Vaporwave Text Generator","text-font-generators","vaporwave text generator","text-transform","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","8","unicode-text-generator","Unicode Text Generator","text-font-generators","unicode text generator","text-transform","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","9","discord-name-generator","Discord Name Generator","name-generators","discord name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Proper-name cultural fit, transliteration choices, trademark/availability caveats, and no fake identity framing.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","10","clan-name-generator","Clan Name Generator","gaming-generators","clan name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","11","band-name-generator","Band Name Generator","creative-generators","band name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","12","superhero-name-generator","Superhero Name Generator","creative-generators","superhero name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","13","rap-name-generator","Rap Name Generator","creative-generators","rap name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","14","song-name-generator","Song Name Generator","creative-generators","song name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","15","pirate-name-generator","Pirate Name Generator","gaming-generators","pirate name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","16","medieval-name-generator","Medieval Name Generator","gaming-generators","medieval name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","17","hreflang-tag-generator","Hreflang Tag Generator","seo-generators","hreflang tag generator","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","18","schema-tag-generator","Schema Markup Generator","seo-generators","schema markup generator","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","19","slug-generator","URL Slug Generator","developer-generators","slug generator","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","20","hash-generator","Hash Generator","developer-generators","hash generator","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","21","json-formatter","JSON Formatter","developer-generators","json formatter","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","22","coin-flip","Coin Flip Generator","random-generators","coin flip","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Randomness limitations, safe playful framing, and no identity/document/security misuse.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","23","dice-roller","Dice Roller","random-generators","dice roller","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Randomness limitations, safe playful framing, and no identity/document/security misuse.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","24","color-palette-generator","Color Palette Generator","developer-generators","color palette generator","utility","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","25","town-name-generator","Town Name Generator","gaming-generators","town name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","26","kingdom-name-generator","Kingdom Name Generator","gaming-generators","kingdom name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
"tool","B01","Rollout batch 1","27","dragon-name-generator","Dragon Name Generator","gaming-generators","dragon name generator","random-combo","","es fr de pt it pl ru tr id sv ms bg hi bn ja ko ar","17","","Schedule","Local keyword intent, natural-language guide/FAQ, safe framing, and no unsupported promises.","For this tool: approve 17 local keywords, 17 SEO-safe slugs, localized H1/meta/intro/FAQ/guide/safety note, then run strict batch audit.","Do not localize if later added to noindexToolSlugs or redirect merge list before implementation."
