row_type,batch,slug,classification,recommended_action,reason,next_step,redirect_or_canonical_target
summary,all,,total_remaining_noindex_tools,"42 rendered noindex tools remain","Derived from dist/tools pages that render noindex, follow.","Resolve in 10-tool batches without removing noindexToolSlugs until each action is implemented and verified.",
summary,all,,recommended_next_implementation_batch,"batch_1","Batch 1 contains the safest next work: final audit for already-hardened legal templates plus obvious final keep-noindex decisions for document/security/fake-identity tools.","Run final indexing audit only for contract-generator, nda-generator, and service-agreement-generator; keep the other batch 1 tools noindex.",
batch,batch_1,contract-generator,candidate_for_final_indexing_audit,"Do not index yet; run final legal-template audit.","Already hardened with draft-only safeguards, but legal/enforceability risk remains and requires explicit final audit before any index decision.","Review disclaimers, generated output, FAQ, schema, claims, jurisdiction language, and legal-advice boundaries.",
batch,batch_1,nda-generator,candidate_for_final_indexing_audit,"Do not index yet; run final legal-template audit.","Already hardened with draft-only safeguards, but confidentiality/enforceability risk remains and requires explicit final audit before any index decision.","Review disclaimers, generated output, FAQ, schema, claims, jurisdiction language, and legal-advice boundaries.",
batch,batch_1,service-agreement-generator,candidate_for_final_indexing_audit,"Do not index yet; run final legal-template audit.","Already hardened with draft-only safeguards, but legal, payment, IP, liability, and jurisdiction risk remains.","Review disclaimers, generated output, FAQ, schema, claims, jurisdiction language, and legal-advice boundaries.",
batch,batch_1,invoice-generator,final_keep_noindex_fake_identity_or_document,"Keep noindex permanently unless repositioned as a non-official draft worksheet with separate audit.","Invoice output is official-record, debt, payment, tax, and accounting adjacent.","Retain noindex; consider stronger draft-only labeling and avoid any official/tax compliance claims.",
batch,batch_1,receipt-generator,final_keep_noindex_fake_identity_or_document,"Keep noindex permanently unless repositioned as a non-official draft worksheet with separate audit.","Receipt output can imply proof of payment and official/tax/accounting records.","Retain noindex; consider stronger draft-only labeling and avoid proof-of-payment claims.",
batch,batch_1,random-address-generator,final_keep_noindex_fake_identity_or_document,"Keep noindex permanently.","Fake address/location data can enable deception, account abuse, false records, fraud, or evasion.","Retain noindex and ensure output is framed as fictional/sample only.",
batch,batch_1,fake-name-generator,final_keep_noindex_fake_identity_or_document,"Keep noindex permanently.","Fake identity output can enable impersonation, synthetic identity misuse, account abuse, or deceptive records.","Retain noindex and ensure output is framed as fictional/sample only.",
batch,batch_1,pin-generator,final_keep_noindex_security_sensitive,"Keep noindex permanently.","PIN-like secret generation is credential-adjacent and high-stakes even when sample-framed.","Retain noindex and avoid production-security claims.",
