slug,verdict,approval_reason_or_blocker,premium_input_driven,not_generic_or_thin,tool_specific_sections,controls_affect_output,helpful_content_safe_faqs,draft_only_framing,no_guarantees,region_platform_provider_warnings,review_checklist_or_verification,robots_noindex_follow,googlebot_noindex_follow,recommended_batch
refund-policy-generator,approve_for_indexing,"Premium draft helper with business type, region, refund window, remedy, return shipping, digital exception, and damaged-item workflow shaping eligibility, process, checklist, and provider warnings; no refund, compliance, processor, marketplace, or enforceability guarantee.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,batch_1
affiliate-disclosure-generator,approve_for_indexing,"Premium disclosure helper with channel, region, relationship type, placement, Amazon/program note, and review integrity controls; clear FTC/platform non-guarantee and program/platform verification warnings.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,batch_1
disclaimer-generator,approve_for_indexing,"Premium disclaimer draft helper with content type, region, topic sensitivity, external-link, affiliate, and professional-advice controls; includes regulated-topic cautions and no liability reduction, enforceability, or regulatory guarantee.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,batch_1
invoice-generator,keep_noindex,"Premium and input-driven, but should remain noindex because invoices are official-record/payment/debt adjacent and could be misused even with strong draft-only, no tax/accounting/payment-proof, and verification safeguards.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
receipt-generator,keep_noindex,"Premium and input-driven, but should remain noindex because receipts are proof-of-payment/official-record adjacent and could be misused even with strong draft-only, no proof-of-payment, no tax/accounting guarantee, and verification safeguards.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
acceptable-use-policy-generator,approve_for_indexing,"Premium AUP helper with service type, region, policy emphasis, enforcement model, security/content/API clauses, provider warnings, enforcement workflow, checklist, and no compliance, enforceability, provider approval, or abuse-prevention guarantee.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,batch_1
dmca-policy-generator,keep_noindex,"Premium and input-driven, but should remain noindex because copyright/DMCA workflows are high-risk legal process content; safe framing is strong and avoids safe-harbor/takedown/filing guarantees, but the category is too legal-process-sensitive for indexing now.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
cookie-policy-generator,approve_for_indexing,"Premium cookie policy helper with cookie stack, region, user control, third-party service, and consent review controls; includes inventory, consent/vendor warnings, no scan, no consent, and no privacy/ePrivacy compliance guarantee.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,batch_1
privacy-policy-generator,keep_noindex,"Premium and input-driven, but should remain noindex because privacy notices are high-risk privacy-law/compliance content; the tool avoids GDPR/CCPA/platform guarantees and includes review warnings, but should wait for deeper expert/legal review before indexing.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
terms-generator,keep_noindex,"Premium and input-driven, but should remain noindex because terms are high-risk enforceability/legal-rights content; the tool avoids enforceability, legal, consumer-law, and platform approval guarantees, but should wait for deeper expert/legal review before indexing.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
