slug,tool_name,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
word-counter,Word Counter,"Current output gives basic counts but does not feel like a full writing analysis dashboard.","Show words, characters with spaces, characters without spaces, sentences, paragraphs, lines, reading time, speaking time, average words per sentence, longest word, and keyword density when feasible.","Reading speed; speaking speed; include keyword density; include platform limits; count mode all/selection.","Metrics summary cards; reading/speaking time block; keyword density table; platform limit checklist; copyable report.","Copy report; copy keyword table; copy metrics summary.","Combines writing analytics, timing, and platform-fit checks instead of only basic counts.","Avoid SEO ranking promises. Keyword density should be descriptive only.","Slug exists in src/data/tools.ts. Validate empty input, whitespace-only text, punctuation, line breaks, and long text performance."
text-case-converter,Text Case Converter,"Existing output is useful but should become a complete case conversion matrix with copyable format cards.","Output uppercase, lowercase, title case, sentence case, camelCase, PascalCase, snake_case, kebab-case, constant case, dot case, and title-case style variants if feasible.","Title-case style; preserve acronyms; trim whitespace; convert line-by-line; separator choice.","Case conversion matrix; title-case variants; developer-case variants; original text stats.","Copy per case; copy all formats; copy developer formats.","Covers both general case conversion and title-style needs in one premium matrix.","AP/Chicago-style title case should be labeled approximate unless a full style engine is implemented.","Kept approved slug. Validate acronyms, punctuation, multiple spaces, line breaks, and non-Latin text fallback."
text-to-binary-generator,Text to Binary Generator,"Current output is likely a simple conversion and lacks decode/byte-level structure.","Encode text to binary, decode binary to text when input is binary-like, show grouped bytes, byte count, UTF-8 note, and validation errors.","Mode encode/decode/auto; byte separator; group size; include original text; copy format.","Encoded binary block; decoded preview; byte summary; validation/errors section.","Copy binary; copy decoded text; copy byte summary.","Bidirectional utility with clear encoding notes beats a one-line converter.","Clarify binary is an encoding representation, not encryption.","Kept approved slug. Validate Unicode text, invalid binary input, separators, and round-trip behavior."
discord-timestamp-generator,Discord Timestamp Generator,"Current output is platform-specific but should also satisfy timestamp conversion intent.","Convert current or entered Unix timestamp into Discord formats, ISO date, local date, UTC date, relative time, and timezone notes.","Use current time; timestamp input; seconds/milliseconds mode; include Discord formats; include timezone note.","Timestamp summary; Discord format cards; ISO/local/UTC table; copyable format list.","Copy each timestamp format; copy all Discord formats; copy ISO date.","Serves timestamp conversion plus Discord-ready output in one tool.","Timezone display depends on viewer/client. Avoid implying one display is universal.","Kept approved slug. Validate seconds vs milliseconds, invalid input, epoch dates, and local timezone note."
json-formatter,JSON Formatter,"Existing formatter should become a validation and inspection utility, not just pretty print.","Format JSON, minify JSON, validate errors with helpful message, show object/array/key counts, and path examples when feasible.","Mode format/minify; indent size; sort keys; include summary; copy mode.","Formatted JSON block; minified JSON block; validation result; structure summary; path examples.","Copy formatted JSON; copy minified JSON; copy error details; copy summary.","Combines formatter, validator, and lightweight inspector in one output.","Never execute JSON. Handle invalid JSON safely and locally.","Kept approved slug. Validate invalid JSON, arrays, primitives, nested objects, large input, and escaping."
hash-generator,Hash Generator,"Existing output is limited and should become a structured developer hash utility.","Generate SHA-256, SHA-1 if supported, optional SHA-384/SHA-512 if feasible, length notes, input byte count, and copyable hash cards.","Algorithm group; lowercase/uppercase output; include input summary; copy all.","Hash cards by algorithm; input summary; verification note; copy-all block.","Shows algorithm labels, hash length, and copy controls rather than plain hash text.","Hashes are one-way checksums, not encryption or authentication secrets by themselves.","Kept approved slug. Validate empty input, Unicode encoding, hash lengths, and copy buttons."
cron-expression-generator,Cron Expression Generator,"Current output should become structured schedules with explanations and examples.","Generate common cron expressions with human-readable explanation, selected preset, field breakdown, timezone/server note, and copyable expressions.","Preset schedule; include field breakdown; cron flavor note; timezone note; copy mode.","Preset cards; selected expression; field explanation table; validation note.","Copy cron; copy explanation; copy selected preset group.","Makes schedule expressions understandable with field-level explanation, not just snippets.","Cron syntax differs by system and timezone/server settings matter.","Kept approved slug. Validate common presets, field counts, special characters, and no unsupported Quartz claims unless implemented."
html-code-generator,HTML Code Generator,"Existing developer tool is a clean replacement candidate and should generate structured HTML snippets rather than generic markup.","Generate semantic HTML blocks for page section, card, form, nav, and article snippets with accessible attributes and copyable code.","Snippet type; include comments; include ARIA where useful; include minimal CSS hook; indentation size.","HTML snippet card; structure notes; accessibility checklist; copyable code block.","Copy HTML; copy checklist; copy all snippets.","Provides production-oriented semantic snippets with accessibility reminders.","Do not claim accessibility compliance without review. Avoid inline event handlers or unsafe script output.","New clean replacement. Slug exists in src/data/tools.ts. Validate escaped user text, semantic tags, indentation, and mobile code wrapping."
css-code-generator,CSS Code Generator,"Existing developer tool is a clean replacement candidate and should output focused CSS patterns instead of generic CSS.","Generate CSS snippets for card, layout, button utility, responsive grid, typography block, and reset/utility patterns with copyable code.","Snippet type; responsive breakpoint; include hover/focus; include comments; style density.","CSS snippet card; preview notes where feasible; responsive notes; copyable CSS block.","Copy CSS; copy selected snippet; copy all.","Gives practical reusable CSS patterns with focus/responsive notes, not random declarations.","Warn users to verify contrast, focus states, and design-system compatibility.","New clean replacement. Slug exists in src/data/tools.ts. Validate CSS syntax, option mapping, no layout-breaking preview, and copy controls."
random-number-generator,Random Number Generator,"Existing utility tool is a clean replacement candidate and should provide structured number generation controls and summaries.","Generate random integers/decimals with min, max, quantity, unique option, sorted option, seed note if not supported, and stats summary.","Minimum; maximum; quantity; integer/decimal; unique; sort ascending; delimiter.","Number result grid; copyable list; stats summary min/max/average; settings summary.","Copy number; copy list; copy CSV; copy all.","More useful than a raw random list by adding constraints, uniqueness, sorting, and summary stats.","Do not claim cryptographic randomness unless using crypto APIs. Keep lottery/gambling wording neutral.","New clean replacement. Slug exists in src/data/tools.ts. Validate bounds, quantity caps, unique impossible ranges, decimals, and copy formats."
