rank,slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
1,fantasy-name-generator,Fantasy Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
2,team-name-generator,Team Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
3,baby-name-generator,Baby Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
4,middle-name-generator,Middle Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
5,last-name-generator,Last Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
6,discord-name-generator,Discord Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
7,clan-name-generator,Clan Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
8,superhero-name-generator,Superhero Name Generator,Creative & Story Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
9,pirate-name-generator,Pirate Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
10,medieval-name-generator,Medieval Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
11,town-name-generator,Town Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
12,kingdom-name-generator,Kingdom Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
13,dragon-name-generator,Dragon Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
14,wolf-name-generator,Wolf Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
15,elf-name-generator,Elf Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
16,alien-name-generator,Alien Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
17,guild-name-generator,Guild Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Candidate for Pass 19 if doing one final coherent name/fantasy premium polish batch.,needs_premium_upgrade
