slug,risk_type,category_group,current_noindex_status,premium_content_readiness,remaining_risk,recommended_decision,reason
instagram-caption-generator,platform_abuse,social post/caption tools,yes,"premium; hardening audit reports strong safety framing","Caption drafts can still be misused for spam, unsupported claims, clickbait, or engagement chasing if indexed too broadly.",index_fourth_batch,"Safest next social candidate because it is caption drafting rather than automation, tagging, or growth tooling; already premium with strong safety framing."
facebook-post-generator,platform_abuse,social post/caption tools,yes,"premium; hardening audit reports strong safety framing","Post drafts can still be used for spam, fake engagement, misleading claims, or platform-policy-adjacent publishing.",index_fourth_batch,"General post drafting is useful, familiar, and lower risk than hashtag growth, AI prompt, legal, humor, or IP surfaces."
tiktok-caption-generator,platform_abuse,social post/caption tools,yes,"premium; hardening audit reports strong safety framing","Caption drafts can drift into clickbait, trend abuse, fake engagement expectations, or misleading claims.",index_fourth_batch,"Comparable to Instagram caption and safer than hashtag/tag tools because the output is short copy, not reach optimization."
linkedin-post-generator,platform_abuse,social post/caption tools,yes,"premium; hardening audit reports strong safety framing","Professional post drafts can imply unsupported proof, fake authority, exaggerated outcomes, or engagement expectations.",index_fourth_batch,"Strong practical intent and relatively controllable risk when claim-verification and no-outcome-guarantee framing stays visible."
x-post-generator,platform_abuse,social post/caption tools,yes,"premium; hardening audit reports strong safety framing","Short-form posts can drift into spam, outrage bait, harassment-adjacent language, unsupported claims, or engagement expectations.",harden_before_index,"Potentially indexable, but risk is higher than the first four post/caption tools and should wait for a focused anti-spam/anti-harassment review."
youtube-hook-generator,platform_abuse,social post/caption tools,yes,"premium; hardening audit reports strong safety framing","Hook drafts can become misleading clickbait or imply guaranteed retention, reach, views, or growth.",harden_before_index,"Potentially indexable after an extra anti-clickbait and no-performance-guarantee review."
twitter-card-generator,platform_abuse,social post/caption tools,yes,"premium; hardening audit reports strong safety framing","Metadata previews can be used for misleading claims, fake previews, stale cache assumptions, or platform-specific guarantees.",harden_before_index,"Better treated as an SEO/dev utility later, after explicit preview-accuracy and no-platform-guarantee checks."
tiktok-username-generator,platform_abuse,social post/caption tools,yes,"premium; hardening audit reports strong safety framing","Username generation can drift into impersonation, availability claims, evasion, or platform abuse.",harden_before_index,"Similar to previously indexed name tools, but direct handle/username risk needs another impersonation and availability review first."
youtube-tag-generator,platform_abuse,hashtag/tag tools,yes,"premium; hardening audit reports strong safety framing","Tags can be used for spam, keyword stuffing, misleading relevance, or ranking expectations.",harden_before_index,"Potentially indexable only after an extra relevance-only, anti-spam, and no-ranking-guarantee pass."
instagram-hashtag-generator,platform_abuse,hashtag/tag tools,yes,"premium; hardening audit reports strong safety framing","Hashtags can be used for spam, fake reach expectations, irrelevant trend stuffing, or engagement chasing.",harden_before_index,"Do not include in Fourth Batch; hashtag growth surfaces are riskier than ordinary caption/post drafting."
tiktok-hashtag-generator,platform_abuse,hashtag/tag tools,yes,"premium; hardening audit reports strong safety framing","Hashtags can be used for spam, trend abuse, fake reach expectations, or engagement chasing.",harden_before_index,"Do not include in Fourth Batch; needs no-views/no-reach and relevance-only framing review before indexing."
etsy-tag-generator,platform_abuse,hashtag/tag tools,yes,"premium; hardening audit reports strong safety framing","Marketplace tags can imply ranking gains, search placement, or unsupported product attributes.",harden_before_index,"Potentially indexable after marketplace-specific truthful-claims, relevance, and no-ranking-guarantee review."
facebook-hashtag-generator,platform_abuse,hashtag/tag tools,yes,"premium; hardening audit reports strong safety framing","Hashtags can be used for spam, fake reach expectations, irrelevant topics, or engagement chasing.",harden_before_index,"Do not include in Fourth Batch; hold with the hashtag cluster for a dedicated hardening pass."
pinterest-tag-generator,platform_abuse,hashtag/tag tools,yes,"premium; hardening audit reports strong safety framing","Tags can be used for spam, misleading relevance, traffic expectations, or trend stuffing.",harden_before_index,"Potentially indexable after tag-relevance and no-traffic-guarantee framing is rechecked."
soundcloud-tag-generator,platform_abuse,hashtag/tag tools,yes,"premium; hardening audit reports strong safety framing","Tags can be used for spam, misleading genre claims, or play-growth expectations.",harden_before_index,"Potentially indexable after genre-truthfulness, relevance, and no-play-growth framing is rechecked."
midjourney-prompt-generator,platform_abuse,AI prompt tools,yes,"premium; hardening audit reports strong safety framing","AI prompt output can drift into platform affiliation, IP copying, unsafe image requests, or guaranteed output assumptions.",index_later,"Hold for an AI-specific indexing batch with non-affiliation, IP-safety, and no-output-guarantee review."
stable-diffusion-prompt-generator,platform_abuse,AI prompt tools,yes,"premium; hardening audit reports strong safety framing","AI prompt output can drift into IP copying, unsafe image requests, model capability assumptions, or guaranteed output claims.",index_later,"Hold for an AI-specific indexing batch with model-limit, IP-safety, and no-output-guarantee review."
chatgpt-prompt-generator,platform_abuse,AI prompt tools,yes,"premium; hardening audit reports strong safety framing","Prompt drafts can imply AI accuracy, automation reliability, official platform status, or unsupported results.",index_later,"Hold for an AI prompt batch with fact-checking, non-affiliation, and no-accuracy-guarantee review."
dalle-prompt-generator,platform_abuse,AI prompt tools,yes,"premium; hardening audit reports strong safety framing","Image prompt drafts can imply platform affiliation, IP copying, unsafe visual requests, or guaranteed outputs.",index_later,"Hold for an AI-specific indexing batch with non-affiliation, IP-safety, and no-output-guarantee review."
shakespeare-insult-generator,humor_abuse,humor tools,yes,"premium; hardening audit reports strong safety framing","Insult generation has direct harassment, bullying, targeted abuse, and harmful-language risk.",keep_noindex,"Keep noindex despite hardening because the core output is insult generation and remains higher risk as an indexed landing page."
comeback-generator,humor_abuse,humor tools,yes,"premium; hardening audit reports strong safety framing","Comeback generation can be used for targeted harassment, escalation, bullying, or insulting replies.",index_later,"Less severe than explicit insult generation, but still needs a humor-specific anti-harassment review before approval."
purchase-order-generator,legal_template,legal/business docs,yes,"premium; hardening audit reports strong safety framing","Business document output can be mistaken for legally sufficient procurement, tax, accounting, or contract documentation.",index_later,"Potentially indexable later as an operational draft/checklist, but not in Fourth Batch; should get business-document-specific disclaimer review first."
quotation-generator,legal_template,legal/business docs,yes,"premium; hardening audit reports strong safety framing","Quotation output can be mistaken for binding commercial terms, tax treatment, legal sufficiency, or accounting advice.",index_later,"Potentially indexable later as a draft utility, but needs business/legal sufficiency language rechecked before approval."
ao3-tag-generator,brand_ip,brand/IP or other,yes,"premium; hardening audit reports strong safety framing","Platform/IP-adjacent tagging can imply affiliation, official status, scraping/spam behavior, or third-party rights assumptions.",keep_noindex,"Keep noindex for now because it combines platform/IP and tagging risk; revisit only after a dedicated brand/IP review."
